Datetime,PJME_MW,rolling_z,hour,dayofweek,day,month,quarter,year,dayofyear,weekofyear,is_weekend,hour_sin,hour_cos,month_sin,month_cos,is_holiday,lag_24h,lag_168h,rolling_mean_7d,rolling_std_7d
20020108,29445,-0.7035043390079161,1,1,8,1,1,2002,8,2,0,0,0,0,0,0,26862,30393,32519.511904761905,3857.9505650969227
20020108,28670,-0.8983410897093125,2,1,8,1,1,2002,8,2,0,1,1,0,0,0,25976,29265,32513.869047619046,3861.7709544850613
20020108,28375,-0.9716453722778654,3,1,8,1,1,2002,8,2,0,2,2,0,0,0,25641,28357,32510.32738095238,3865.039821311499
20020108,28542,-0.9279245433860588,4,1,8,1,1,2002,8,2,0,3,3,0,0,0,25666,27899,32510.434523809523,3864.92424516146
20020108,29261,-0.7440923697605406,5,1,8,1,1,2002,8,2,0,4,4,0,0,0,26328,28057,32514.261904761905,3860.6462696830813
20020108,31348,-0.21282295240123317,6,1,8,1,1,2002,8,2,0,5,5,0,0,0,28267,28654,32521.428571428572,3853.4333141037537
20020108,35335,0.805688434075685,7,1,8,1,1,2002,8,2,0,4,6,0,0,0,31938,29308,32537.464285714286,3842.833829744426
20020108,37841,1.455358749751548,8,1,8,1,1,2002,8,2,0,6,7,0,0,0,34678,29595,32573.339285714286,3840.6365222671006
20020108,37417,1.3567398448743122,9,1,8,1,1,2002,8,2,0,7,8,0,0,0,35349,29943,32622.42261904762,3855.0104646549376
20020108,36824,1.21372585854695,10,1,8,1,1,2002,8,2,0,1,9,0,0,0,35542,30692,32666.910714285714,3867.011419084977
20020108,36504,1.1380973369476524,11,1,8,1,1,2002,8,2,0,8,10,0,0,0,35857,31395,32703.410714285714,3877.185003177762
20020108,35741,0.9446904329212744,12,1,8,1,1,2002,8,2,0,9,11,0,0,0,35787,31496,32733.821428571428,3886.885122555752
20020108,35158,0.7958975088647491,13,1,8,1,1,2002,8,2,0,10,12,0,0,0,35790,31031,32759.089285714286,3892.583877513409
20020108,34591,0.6504477540949943,14,1,8,1,1,2002,8,2,0,11,13,0,0,0,35594,30360,32783.65476190476,3894.6347572106156
20020108,34078,0.5195279331607544,15,1,8,1,1,2002,8,2,0,12,14,0,0,0,35527,29798,32808.83928571428,3892.5476784627917
20020108,34006,0.5018545195035408,16,1,8,1,1,2002,8,2,0,13,15,0,0,0,35489,29720,32834.31547619047,3886.7258039034746
20020108,35270,0.8220838132746962,17,1,8,1,1,2002,8,2,0,14,6,0,0,0,36530,31271,32859.82738095238,3880.222382350179
20020108,38779,1.70466532031903,18,1,8,1,1,2002,8,2,0,15,16,0,0,0,39140,35103,32883.630952380954,3882.6825462821294
20020108,39450,1.86957936515842,19,1,8,1,1,2002,8,2,0,16,17,0,0,0,39581,35732,32905.51190476191,3905.555470453794
20020108,38898,1.7293148847362545,20,1,8,1,1,2002,8,2,0,17,3,0,0,0,38780,35639,32927.642857142855,3932.1115570180477
20020108,38178,1.5488419923714603,21,1,8,1,1,2002,8,2,0,18,18,0,0,0,37777,35285,32947.041666666664,3953.548548329967
20020108,36282,1.0761702456696676,22,1,8,1,1,2002,8,2,0,19,19,0,0,0,35997,34007,32964.26190476191,3970.0587941740537
20020108,33530,0.3912704381144904,23,1,8,1,1,2002,8,2,0,20,20,0,0,0,33579,31857,32977.80357142857,3977.5097801268985
20020109,30943,-0.25188622205370503,0,2,9,1,1,2002,9,2,0,21,21,0,0,0,31187,29563,32987.76190476191,3976.7811107542034
20020109,29082,-0.7131931232230897,1,2,9,1,1,2002,9,2,0,0,0,0,0,0,29445,28121,32995.97619047619,3971.0858542349797
20020109,28154,-0.9407143900028935,2,2,9,1,1,2002,9,2,0,1,1,0,0,0,28670,27437,33001.69642857143,3964.7085639568654
20020109,27829,-1.016805424885766,3,2,9,1,1,2002,9,2,0,2,2,0,0,0,28375,27301,33005.96428571428,3959.0644057373866
20020109,27759,-1.0291942961758167,4,2,9,1,1,2002,9,2,0,3,3,0,0,0,28542,27533,33009.107142857145,3954.7156525650844
20020109,28308,-0.8880941699973567,5,2,9,1,1,2002,9,2,0,4,4,0,0,0,29261,28405,33010.45238095238,3952.8797549381993
20020109,30169,-0.4233929920321084,6,2,9,1,1,2002,9,2,0,5,5,0,0,0,31348,30748,33009.875,3953.563507701771
20020109,34261,0.5914588187292659,7,2,9,1,1,2002,9,2,0,4,6,0,0,0,35335,34725,33006.42857142857,3955.798785428241
20020109,36714,1.201688631371008,8,2,9,1,1,2002,9,2,0,6,7,0,0,0,37841,37313,33003.666666666664,3954.7535509438
20020109,36494,1.1507826113446256,9,2,9,1,1,2002,9,2,0,7,8,0,0,0,37417,37322,33000.10119047619,3951.11347701658
